id,name,path,parentId,level,hasOnlineChildren,pageTitle,pageDescription
mens-clothing-shorts,Shorts,Mens > Clothing > Shorts,mens-clothing,2,0,Men's Spring Shorts,Shop Men's spring shorts in cotton. Variety of different fits at Commerce Cloud
mens-clothing-pants,Pants,Mens > Clothing > Pants,mens-clothing,2,0,"Men's Pants Including Khakis, Cargos, Trousers, Jeans & More","Shop Men's Trousers. Practical, easy-to-wear styles wherever you're headed. Check out Commerce Cloud's famous rugged, long-lasting trousers, jeans, cargo pants and more at Commerce Cloud."
mens-accessories,Accessories,Mens > Accessories,mens,1,3,"Men's Accessories Belts, Wallets. Gloves, Hats, Watches, Luggage & More","Shop mens accessories including belts, wallets. gloves, hats, watches, luggage & more at Commerce Cloud."
mens-accessories-ties,Ties,Mens > Accessories > Ties,mens-accessories,2,0,Men's Casual and Business Ties,Shop Mens's Ties for all occasions including business or casual at Commerce Cloud
mens-accessories-gloves,Gloves,Mens > Accessories > Gloves,mens-accessories,2,0,Men's Gloves,"Shop Men'sGloves . Versatile, commuter, boot, oxford, deer and resolve gloves. All with famous long-lasting quality at Commerce Cloud."
mens-accessories-luggage,Luggage,Mens > Accessories > Luggage,mens-accessories,2,0,Men's Wheeled Luggage,"Shop Men's Wheeled Luggage. Versatile, rugged suitcases, baggage, holdalls and shoulder bags. All with famous long-lasting quality at Commerce Cloud."
electronics,Electronics,Electronics,root,0,5,"Shop Electronics Including Televisions, Digital Cameras, iPods & More","Shop Electronics including the latest in televisions, digital cameras, camcorders, mp3, ipod, mobil phones, GPS & gaming at Commerce Cloud"
electronics-televisions,Televisions,Electronics > Televisions,electronics,1,2,"Televisions Including LCD, Plasma & More in High Definition","Shop the latest Televisions including LCD, Plasma, Flat Screens, Projection including all the top brands, makes and models at Commerce Cloud."
electronics-televisions-flat-screen,Flat Screen,Electronics > Televisions > Flat Screen,electronics-televisions,2,0,LCD & Plasma High Definition Flat Screen Televisions,"Shop all Flat Screen Televisions including the latest in LCD and Plasma technology from all the latest brands, makes and models at Commerce Cloud."
electronics-televisions-projection,Projection,Electronics > Televisions > Projection,electronics-televisions,2,0,Projection High Definition Televisions,"Shop all Projection Televisions from all the latest brands, makes and models at Commerce Cloud."
electronics-digital-cameras,Digital Cameras,Electronics > Digital Cameras,electronics,1,0,Digital Cameras,"Shop the latest digital cameras from all the top brands, makes and models at Commerce Cloud."
electronics-digital-media-players,iPod & MP3 Players,Electronics > iPod & MP3 Players,electronics,1,0,iPod & MP3 Digital Media Players,"Shop Digital Media Players including iPods, Creative Zen, Sony & the latest from all the top brands, makes and models at Commerce Cloud."
electronics-gps-units,GPS Navigation,Electronics > GPS Navigation,electronics,1,0,GPS Units,"Shop the latest in GPS units from Garmin and Tom Tom along with other brands, makes and models at Commerce Cloud."
electronics-gaming,Gaming,Electronics > Gaming,electronics,1,2,Gaming,"Shop games and game consoles from Xbox, Xbox360, Playstation 2, Playstation 3, Game Cube, Wii, Playstation Portable and Nintento DS at Commerce Cloud."
electronics-game-consoles,Game Consoles,Electronics > Gaming > Game Consoles,electronics-gaming,2,0,Video Game Consoles,"Shop game consoles from Xbox, Xbox360, Playstation 2, Playstation 3, Game Cube, Wii, Playstation Portable and Nintento DS at Commerce Cloud."
electronic-games,Games,Electronics > Gaming > Games,electronics-gaming,2,0,Video Games,"Shop video games from Xbox, Xbox360, Playstation 2, Playstation 3, Game Cube, Wii, Playstation Portable and Nintento DS at Commerce Cloud."
gift-certificates,Gift Certificates,Gift Certificates,root,0,0,,
top-seller,Top Sellers,Top Sellers,root,0,0,,
